dataset,leaky,k,metric,original_ranking,corrected_ranking,kendall_tau,spearman,n_stable_inversions,stable_inversions,all_inversions
human_nontata_promoters,True,4,accuracy,RF>HGB>LinearSVC>LR,HGB>LR>LinearSVC>RF,-0.333,-0.4,3,LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds] ; RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds] ; RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [2/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
human_nontata_promoters,True,4,auroc,RF>HGB>LinearSVC>LR,HGB>RF>LinearSVC>LR,0.667,0.8,0,,RF>HGB (orig) -> HGB>RF (corrected) [1/3 seeds]
human_nontata_promoters,True,6,accuracy,RF>HGB>LinearSVC>LR,LR>HGB>RF>LinearSVC,-0.333,-0.4,3,LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds] ; RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds] ; RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; HGB>LR (orig) -> LR>HGB (corrected) [2/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
human_nontata_promoters,True,6,auroc,RF>HGB>LinearSVC>LR,RF>HGB>LR>LinearSVC,0.667,0.8,1,LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds],LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds]
human_enhancers_ensembl,True,4,accuracy,RF>LinearSVC>HGB>LR,LinearSVC>LR>HGB>RF,-0.333,-0.4,4,RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; HGB>LR (orig) -> LR>HGB (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; HGB>LR (orig) -> LR>HGB (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
human_enhancers_ensembl,True,4,auroc,RF>LinearSVC>HGB>LR,LinearSVC>HGB>LR>RF,0.0,-0.2,3,RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
human_enhancers_ensembl,True,6,accuracy,RF>LinearSVC>LR>HGB,LinearSVC>LR>HGB>RF,0.0,-0.2,3,RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
human_enhancers_ensembl,True,6,auroc,RF>LinearSVC>LR>HGB,LinearSVC>LR>HGB>RF,0.0,-0.2,3,RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],RF>LR (orig) -> LR>RF (corrected) [3/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [3/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
demo_coding_vs_intergenomic_seqs,False,4,accuracy,HGB>LinearSVC>LR>RF,HGB>LinearSVC>LR>RF,1.0,1.0,0,,
demo_coding_vs_intergenomic_seqs,False,4,auroc,HGB>LinearSVC>LR>RF,LinearSVC>HGB>LR>RF,0.667,0.8,0,,HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [1/3 seeds]
demo_coding_vs_intergenomic_seqs,False,6,accuracy,LinearSVC>LR>HGB>RF,LR>LinearSVC>HGB>RF,0.667,0.8,1,LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds],LinearSVC>LR (orig) -> LR>LinearSVC (corrected) [3/3 seeds]
demo_coding_vs_intergenomic_seqs,False,6,auroc,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,1.0,1.0,0,,
human_ocr_ensembl,False,4,accuracy,HGB>RF>LinearSVC>LR,LinearSVC>HGB>LR>RF,0.0,0.0,0,,RF>LR (orig) -> LR>RF (corrected) [2/3 seeds] ; RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [2/3 seeds] ; HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [2/3 seeds]
human_ocr_ensembl,False,4,auroc,HGB>RF>LinearSVC>LR,HGB>LinearSVC>RF>LR,0.667,0.8,0,,RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [2/3 seeds]
human_ocr_ensembl,False,6,accuracy,LR>HGB>LinearSVC>RF,LR>LinearSVC>HGB>RF,0.667,0.8,1,HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [3/3 seeds],HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [3/3 seeds]
human_ocr_ensembl,False,6,auroc,LR>LinearSVC>HGB>RF,LR>HGB>LinearSVC>RF,0.667,0.8,0,,LinearSVC>HGB (orig) -> HGB>LinearSVC (corrected) [1/3 seeds]
demo_human_or_worm,False,4,accuracy,HGB>RF>LinearSVC>LR,HGB>LinearSVC>RF>LR,0.667,0.8,0,,RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [2/3 seeds]
demo_human_or_worm,False,4,auroc,HGB>RF>LinearSVC>LR,HGB>RF>LinearSVC>LR,1.0,1.0,0,,
demo_human_or_worm,False,6,accuracy,LinearSVC>LR>HGB>RF,LinearSVC>LR>HGB>RF,1.0,1.0,0,,
demo_human_or_worm,False,6,auroc,LinearSVC>LR>HGB>RF,LinearSVC>LR>HGB>RF,1.0,1.0,0,,
drosophila_enhancers_stark,False,4,accuracy,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,1.0,1.0,0,,
drosophila_enhancers_stark,False,4,auroc,LR>LinearSVC>RF>HGB,HGB>LR>LinearSVC>RF,0.0,-0.2,1,RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],LR>HGB (orig) -> HGB>LR (corrected) [2/3 seeds] ; LinearSVC>HGB (orig) -> HGB>LinearSVC (corrected) [2/3 seeds] ; RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
drosophila_enhancers_stark,False,6,accuracy,LR>RF>HGB>LinearSVC,LR>LinearSVC>RF>HGB,0.333,0.4,0,,RF>LinearSVC (orig) -> LinearSVC>RF (corrected) [2/3 seeds] ; HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [2/3 seeds]
drosophila_enhancers_stark,False,6,auroc,LR>LinearSVC>RF>HGB,LR>LinearSVC>HGB>RF,0.667,0.8,1,RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds],RF>HGB (orig) -> HGB>RF (corrected) [3/3 seeds]
human_enhancers_cohn,False,4,accuracy,LinearSVC>LR>HGB>RF,LinearSVC>LR>HGB>RF,1.0,1.0,0,,
human_enhancers_cohn,False,4,auroc,LR>LinearSVC>HGB>RF,LR>LinearSVC>HGB>RF,1.0,1.0,0,,
human_enhancers_cohn,False,6,accuracy,LR>HGB>LinearSVC>RF,LR>LinearSVC>HGB>RF,0.667,0.8,1,HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [3/3 seeds],HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [3/3 seeds]
human_enhancers_cohn,False,6,auroc,LR>HGB>LinearSVC>RF,LR>LinearSVC>HGB>RF,0.667,0.8,0,,HGB>LinearSVC (orig) -> LinearSVC>HGB (corrected) [2/3 seeds]
