dataset,leaky,split,model,sim_bin,n,accuracy,auroc,low_confidence
human_enhancers_cohn,False,original,LR,"[0,0.5)",4966,0.7344,0.8083,False
human_enhancers_cohn,False,original,LR,"[0.5,0.7)",28,1.0,,True
human_enhancers_cohn,False,original,LR,"[0.7,0.9)",4,1.0,,True
human_enhancers_cohn,False,original,LR,"[0.9,1.0]",2,1.0,,True
human_enhancers_cohn,False,original,LinearSVC,"[0,0.5)",4966,0.7126,0.7836,False
human_enhancers_cohn,False,original,LinearSVC,"[0.5,0.7)",28,1.0,,True
human_enhancers_cohn,False,original,LinearSVC,"[0.7,0.9)",4,1.0,,True
human_enhancers_cohn,False,original,LinearSVC,"[0.9,1.0]",2,0.5,,True
human_enhancers_cohn,False,original,RF,"[0,0.5)",4966,0.6911,0.77,False
human_enhancers_cohn,False,original,RF,"[0.5,0.7)",28,1.0,,True
human_enhancers_cohn,False,original,RF,"[0.7,0.9)",4,1.0,,True
human_enhancers_cohn,False,original,RF,"[0.9,1.0]",2,1.0,,True
human_enhancers_cohn,False,original,HGB,"[0,0.5)",4966,0.7149,0.7905,False
human_enhancers_cohn,False,original,HGB,"[0.5,0.7)",28,0.9643,,True
human_enhancers_cohn,False,original,HGB,"[0.7,0.9)",4,0.75,,True
human_enhancers_cohn,False,original,HGB,"[0.9,1.0]",2,1.0,,True
demo_human_or_worm,False,original,LR,"[0,0.5)",4951,0.9374,0.984,False
demo_human_or_worm,False,original,LR,"[0.5,0.7)",33,0.9394,0.9921,True
demo_human_or_worm,False,original,LR,"[0.7,0.9)",10,0.9,1.0,True
demo_human_or_worm,False,original,LR,"[0.9,1.0]",6,1.0,,True
demo_human_or_worm,False,original,LinearSVC,"[0,0.5)",4951,0.9386,0.9845,False
demo_human_or_worm,False,original,LinearSVC,"[0.5,0.7)",33,0.9697,1.0,True
demo_human_or_worm,False,original,LinearSVC,"[0.7,0.9)",10,1.0,1.0,True
demo_human_or_worm,False,original,LinearSVC,"[0.9,1.0]",6,1.0,,True
demo_human_or_worm,False,original,RF,"[0,0.5)",4951,0.9176,0.9734,False
demo_human_or_worm,False,original,RF,"[0.5,0.7)",33,1.0,1.0,True
demo_human_or_worm,False,original,RF,"[0.7,0.9)",10,1.0,1.0,True
demo_human_or_worm,False,original,RF,"[0.9,1.0]",6,1.0,,True
demo_human_or_worm,False,original,HGB,"[0,0.5)",4951,0.9295,0.9802,False
demo_human_or_worm,False,original,HGB,"[0.5,0.7)",33,0.9697,0.9841,True
demo_human_or_worm,False,original,HGB,"[0.7,0.9)",10,0.9,1.0,True
demo_human_or_worm,False,original,HGB,"[0.9,1.0]",6,1.0,,True
human_nontata_promoters,True,original,LR,"[0,0.5)",4971,0.834,0.9059,False
human_nontata_promoters,True,original,LR,"[0.5,0.7)",392,0.875,0.8858,False
human_nontata_promoters,True,original,LR,"[0.7,0.9)",1634,0.91,0.8493,False
human_nontata_promoters,True,original,LR,"[0.9,1.0]",2037,0.9254,0.9992,False
human_nontata_promoters,True,original,LinearSVC,"[0,0.5)",4971,0.8546,0.8904,False
human_nontata_promoters,True,original,LinearSVC,"[0.5,0.7)",392,0.8673,0.8944,False
human_nontata_promoters,True,original,LinearSVC,"[0.7,0.9)",1634,0.9137,0.8996,False
human_nontata_promoters,True,original,LinearSVC,"[0.9,1.0]",2037,0.9514,1.0,False
human_nontata_promoters,True,original,RF,"[0,0.5)",4971,0.8793,0.9086,False
human_nontata_promoters,True,original,RF,"[0.5,0.7)",392,0.9082,0.9741,False
human_nontata_promoters,True,original,RF,"[0.7,0.9)",1634,0.9933,0.9998,False
human_nontata_promoters,True,original,RF,"[0.9,1.0]",2037,1.0,1.0,False
human_nontata_promoters,True,original,HGB,"[0,0.5)",4971,0.8383,0.8992,False
human_nontata_promoters,True,original,HGB,"[0.5,0.7)",392,0.8903,0.9372,False
human_nontata_promoters,True,original,HGB,"[0.7,0.9)",1634,0.9437,0.9298,False
human_nontata_promoters,True,original,HGB,"[0.9,1.0]",2037,0.9755,1.0,False
human_enhancers_ensembl,True,original,LR,"[0,0.5)",18770,0.7649,0.8203,False
human_enhancers_ensembl,True,original,LR,"[0.5,0.7)",311,0.9132,0.9775,False
human_enhancers_ensembl,True,original,LR,"[0.7,0.9)",115,0.8957,0.972,False
human_enhancers_ensembl,True,original,LR,"[0.9,1.0]",11774,0.8019,0.9908,False
human_enhancers_ensembl,True,original,LinearSVC,"[0,0.5)",18770,0.782,0.8397,False
human_enhancers_ensembl,True,original,LinearSVC,"[0.5,0.7)",311,0.9196,0.9837,False
human_enhancers_ensembl,True,original,LinearSVC,"[0.7,0.9)",115,0.9043,0.9743,False
human_enhancers_ensembl,True,original,LinearSVC,"[0.9,1.0]",11774,0.8193,0.9858,False
human_enhancers_ensembl,True,original,RF,"[0,0.5)",18770,0.7698,0.7649,False
human_enhancers_ensembl,True,original,RF,"[0.5,0.7)",311,0.9325,0.9763,False
human_enhancers_ensembl,True,original,RF,"[0.7,0.9)",115,0.9391,0.979,False
human_enhancers_ensembl,True,original,RF,"[0.9,1.0]",11774,1.0,1.0,False
human_enhancers_ensembl,True,original,HGB,"[0,0.5)",18770,0.7488,0.7995,False
human_enhancers_ensembl,True,original,HGB,"[0.5,0.7)",311,0.8939,0.9383,False
human_enhancers_ensembl,True,original,HGB,"[0.7,0.9)",115,0.8696,0.9112,False
human_enhancers_ensembl,True,original,HGB,"[0.9,1.0]",11774,0.7827,0.9967,False
